,loss,binary_accuracy,TP,TN,FP,FN,precision,recall,val_loss,val_binary_accuracy,val_TP,val_TN,val_FP,val_FN,val_precision,val_recall
85,0.0003237406490370631,0.8662935495376587,376.0,2410.0,336.0,94.0,0.5280898809432983,0.800000011920929,0.435781866312027,0.8958333134651184,49.0,295.0,4.0,36.0,0.9245283007621765,0.5764706134796143
86,0.00032591557828709483,0.8684701323509216,383.0,2410.0,333.0,90.0,0.5349162220954895,0.8097251653671265,0.4994877874851227,0.8541666865348816,66.0,262.0,38.0,18.0,0.6346153616905212,0.7857142686843872
87,0.00032514898339286447,0.8709577322006226,379.0,2422.0,322.0,93.0,0.5406562089920044,0.8029661178588867,0.3910946846008301,0.90625,50.0,298.0,3.0,33.0,0.9433962106704712,0.6024096608161926
88,0.0003216048062313348,0.875,385.0,2429.0,313.0,89.0,0.5515759587287903,0.8122363090515137,0.38771334290504456,0.9166666865348816,52.0,300.0,0.0,32.0,1.0,0.6190476417541504
89,0.0003296551003586501,0.8662935495376587,377.0,2409.0,335.0,95.0,0.5294944047927856,0.7987288236618042,0.4190549850463867,0.8932291865348816,50.0,293.0,7.0,34.0,0.8771929740905762,0.5952380895614624
90,0.0003287355066277087,0.8625621795654297,382.0,2392.0,353.0,89.0,0.519727885723114,0.8110403418540955,0.40399837493896484,0.8854166865348816,47.0,293.0,8.0,36.0,0.8545454740524292,0.5662650465965271
91,0.0003167522372677922,0.8833954930305481,390.0,2451.0,292.0,83.0,0.5718474984169006,0.8245242834091187,0.4285624027252197,0.8932291865348816,63.0,280.0,19.0,22.0,0.7682926654815674,0.7411764860153198
92,0.0003171970893163234,0.8725124597549438,395.0,2411.0,331.0,79.0,0.5440771579742432,0.8333333134651184,0.40886810421943665,0.8802083134651184,47.0,291.0,9.0,37.0,0.8392857313156128,0.5595238208770752
93,0.0003346806624904275,0.85447758436203,369.0,2379.0,364.0,104.0,0.5034106373786926,0.7801268696784973,0.499144047498703,0.8359375,58.0,263.0,36.0,27.0,0.6170212626457214,0.6823529601097107
94,0.0003163460933137685,0.8793532252311707,384.0,2444.0,299.0,89.0,0.5622254610061646,0.8118393421173096,0.5112040638923645,0.8333333134651184,64.0,256.0,46.0,18.0,0.581818163394928,0.7804877758026123
95,0.00032079260563477874,0.8718905448913574,389.0,2415.0,327.0,85.0,0.5432960987091064,0.8206751346588135,0.39222344756126404,0.890625,40.0,302.0,0.0,42.0,1.0,0.4878048896789551
96,0.00032420389470644295,0.8666045069694519,383.0,2404.0,339.0,90.0,0.5304709076881409,0.8097251653671265,0.9781453013420105,0.8072916865348816,7.0,303.0,0.0,74.0,1.0,0.08641975373029709
97,0.0003191148571204394,0.8690920472145081,390.0,2405.0,338.0,83.0,0.5357142686843872,0.8245242834091187,0.404842734336853,0.8802083134651184,37.0,301.0,0.0,46.0,1.0,0.4457831382751465
98,0.00030969566432759166,0.8868159055709839,391.0,2461.0,283.0,81.0,0.580118715763092,0.8283898234367371,0.43704867362976074,0.8880208134651184,56.0,285.0,15.0,28.0,0.7887324094772339,0.6666666865348816
99,0.0003170330310240388,0.8768656849861145,383.0,2437.0,307.0,89.0,0.5550724864006042,0.8114407062530518,0.4022776782512665,0.8932291865348816,46.0,297.0,5.0,36.0,0.9019607901573181,0.5609756112098694
100,0.0003219505597371608,0.8777984976768494,393.0,2430.0,312.0,81.0,0.5574468374252319,0.8291139006614685,0.4803721606731415,0.8411458134651184,64.0,259.0,40.0,21.0,0.6153846383094788,0.7529411911964417
101,0.00032241822918877006,0.8672263622283936,391.0,2398.0,348.0,79.0,0.5290933847427368,0.8319149017333984,0.6878169178962708,0.6145833134651184,70.0,166.0,135.0,13.0,0.3414634168148041,0.8433734774589539
102,0.00032131970510818064,0.8706467747688293,384.0,2416.0,327.0,89.0,0.5400843620300293,0.8118393421173096,0.3985176980495453,0.8932291865348816,42.0,301.0,1.0,40.0,0.9767441749572754,0.5121951103210449
103,0.0003157458850182593,0.8765547275543213,395.0,2424.0,317.0,80.0,0.5547752976417542,0.8315789699554443,1.0873600244522095,0.2526041567325592,82.0,15.0,287.0,0.0,0.2222222238779068,1.0
104,0.000312161078909412,0.8861940503120422,397.0,2453.0,289.0,77.0,0.5787171721458435,0.8375527262687683,0.5348216891288757,0.8098958134651184,69.0,242.0,59.0,14.0,0.5390625,0.8313252925872803
105,0.0003172389115206897,0.8799751400947571,393.0,2437.0,305.0,81.0,0.5630372762680054,0.8291139006614685,0.4662123918533325,0.8776041865348816,51.0,286.0,15.0,32.0,0.7727272510528564,0.6144578456878662
106,0.0003212548326700926,0.8728233575820923,390.0,2417.0,326.0,83.0,0.5446927547454834,0.8245242834091187,0.6800643801689148,0.6432291865348816,71.0,176.0,125.0,12.0,0.3622449040412903,0.8554216623306274
107,0.00031645031413063407,0.8765547275543213,382.0,2437.0,304.0,93.0,0.556851327419281,0.8042105436325073,0.4294223487377167,0.8932291865348816,54.0,289.0,12.0,29.0,0.8181818127632141,0.650602400302887
108,0.0003066908393520862,0.8796641826629639,395.0,2434.0,309.0,78.0,0.5610795617103577,0.8350951671600342,0.3928743302822113,0.8932291865348816,46.0,297.0,4.0,37.0,0.9200000166893005,0.5542168617248535
109,0.00032463326351717114,0.8610074520111084,377.0,2392.0,350.0,97.0,0.5185694694519043,0.7953586578369141,0.584252119064331,0.7630208134651184,70.0,223.0,77.0,14.0,0.4761904776096344,0.8333333134651184
110,0.00032570690382272005,0.8666045069694519,387.0,2400.0,347.0,82.0,0.527247965335846,0.8251599073410034,0.5317211151123047,0.7916666865348816,61.0,243.0,58.0,22.0,0.5126050710678101,0.7349397540092468
111,0.0003214459284208715,0.8647388219833374,395.0,2386.0,355.0,80.0,0.5266666412353516,0.8315789699554443,0.4131382405757904,0.8932291865348816,45.0,298.0,4.0,37.0,0.918367326259613,0.5487805008888245
112,0.00030958285788074136,0.885883092880249,396.0,2453.0,288.0,79.0,0.5789473652839661,0.8336842060089111,0.42897775769233704,0.8697916865348816,39.0,295.0,4.0,46.0,0.9069767594337463,0.4588235318660736
113,0.0003178454644512385,0.8781094551086426,398.0,2426.0,317.0,75.0,0.5566433668136597,0.8414376378059387,0.6830906867980957,0.5755208134651184,75.0,146.0,154.0,9.0,0.32751092314720154,0.8928571343421936
